ID,TWEETS
0,"Kenyas ""waste warriors"" are hit hard by lockdown. As businesses and restaurants shut, there is less tras"
1, More and more I dont believe Trump had .
2, A lead investigator on the Danish mask study - the ONLY (as far as I know) randomized trial to see if masks protect from
4, Lara Trump tells people are frustrated over restrictions. Those restriction are in place because t
5,"'s ""buddies"" (Prez. and Chairman ) send their condolences upon"
6,"Wtf?! What about ?! The is a fucking farce, straight up."
7,So are you! You dont pay the right amount of taxes or treat women with respect. You think COVID i
9," Yes, we wear a face mask in Japan.RT should have stopped this a long time ago,Dr"
10,"""Im sorry"" Kanab, Utah man who coughed on BLM protesters fired after viral video B"
11,More and more I dont believe Trump had .
12,"If is allowed to carry on with his agenda unabated, there will be a lockdown in November with an even hars"
14, Meet my duty colleague Dr Arup Senapati an ENT surgeon at Silchar medical college Assam .Dancing infront of COV
16," $ENZC OH hi $ZTSBig Bidding War Ahead? Yup, Big Bidding War.Monoclonal Antibodies = Future of Medicine"
17,He has no idea where Trump or the others contracted it. Hes been very wrong on much about
18, JOIN US TOMORROW // October for the grand finale of this year's - starting with an entrepreneurs panel d
19," He sold that house years ago, you twit. A home he bought in for less thank $190,000. Less dollars than deat"
20,A Storytime experience like no other!!! Parents your little ones will love this!!!
23," Khamenei considers a blessing The opposition, the () and ( / Iran), believes that the"
24," Is fighting the Great Regression making you too tired? For the vim and vitality you need to defend the Imaginary World, t"
25," - Why do I care about this? Im a pharmacist, have a trans sibling, &amp; am Catholic. I resent GOP for saying my fam doesnt matt"
26, See all this in our instagram page us at for your free marketi
28, I know of a decent number of folks who need to see this
29,"Are people really going to believe a who 's words ""Disinfectant knocks it out in min, there any way"
30,Big game this weekCats win and its unquestionably the greatest flag in VFL/AFL historyTiges win and lets all
31,"Are people really going to believe a who 's words ""Disinfectant knocks it out in mi"
33,Pls watch/share my Home Medical Management Plan for Mild available in languages. This min video has
35,Spreading more ? You havent killed enough ?
37,knowingly let infected symptomatic passengers into the general population w/o quarantining We need
38, Seeds are getting shipped out in the USA for ! Our team focuses on getting products safely &amp; properly distributed
39, So I was subjected to a new gaslighting technique this weekend. I was told that nobody dies FROM covid. They die WITH c
41, I cant imagine that in another workplace scenari
43, OMG this is a FANTASTIC ad. Why haven't they been running this in ALL markets all season? The death of some of the best
45, Who pays compensation if a has rare side-effects? Here's the little we know about Australia's new deal h
47,&amp; rising when all killed by are counted. &amp; h
49," cautionary taleDmitriy Stuzhuk, , a fitness influencer who thought Covid-19 didn't exist died from . I want t"
50," Today my extended family lost a beloved father, grandfather, and great-grandfather to . I haven't been tweeti"
51,Sama2 babe. Take care
53,Americans dead from
54,"Hearing these Christmas songs makes me sad Its not like before, you feel excited when Christmas season is just ar"
55, Victorian Daily Coronavirus Stats19-10-2020====================
57, Lebanon added new villages to the lockdown list amid an increase in daily new cases of - Nationa
58, We could have a vaccine ready if only had NOT spent months claiming that
59,"Why arent ant MPs dying of , i mean fuck em theyre cunts anyway."
62, Print out and post! Two great risk charts from
65, Not a single baby in the womb has been saved due to a Trump policy or appointment. dead from . Black lives dead
66, &amp; rising when all killed by are counted. &amp; have be
67, COVID may have hurt the economy but essential services still need people. If you're looking to reinvent yourself because of the
69,Trump supporters won't wear a mask for a virus that kills a thousand people a day but they will arm
70, Violent clashes erupt between police and sports fans protesting measures
71,"'s ""buddies"" (Prez. and Chairman ) send their condolences upon 's death from t"
73, The notification from test and trace app about possible COVID-19 Exposure could raise alarm unnecess
76,Inside the Fall of the
77," slams president, as new Illinois cases again exceed"
78,Road To Nowhere Pandemic Pandemonium (Senior Survival Book ) by Ron Foster via
